Station,Dummy
Aljunied MRT Station (EW9) ,1
Ang Mo Kio Bus Interchange,1
Ang Mo Kio MRT Station (NS16),1
Bakau LRT Station (SE3),1
Bangkit LRT Station (BP9),1
Bayfront MRT Station,1
Beach Station - Sentosa,1
Bedok MRT Station (EW5) ,1
Bedok Temporary Bus Interchange,1
Bishan Bus Interchange,1
Bishan MRT Station (CC15),1
Boon Keng MRT Station (NE9),1
Boon Lay Bus Interchange,1
Boon Lay MRT Station (EW27),1
Botanic Gardens MRT Station (CC19),1
Bras Basah MRT Station (CC2),1
Buangkok MRT Station (NE15),1
Bugis MRT Station (EW12),1
Bukit Batok Bus Interchange ,1
Bukit Batok MRT Station (NS2)  ,1
Bukit Merah Bus Interchange,1
Bukit Panjang Bus Interchange,1
Bukit Panjang LRT Station,1
Buona Vista MRT Station (EW21/CC22),1
Caldecott MRT Station (CC17),1
Changi Airport MRT Station (CG2),1
Chinatown MRT Station (NE4),1
Chinese Garden MRT Station (EW25),1
Choa Chu Kang Bus Interchange ,1
Choa Chu Kang LRT Station (BP1),1
City Hall MRT Station (EW13/NS25),1
Clarke Quay MRT Station (NE5),1
Clementi Bus Interchange,1
Clementi MRT Station (EW23),1
Commonwealth MRT Station (EW20),1
Compassvale LRT Station (SE1),1
Coral Edge LRT Station (PE3),1
Cove LRT Station (PE1),1
Dakota MRT Station (CC8),1
Damai LRT Station (PE7),1
Dover MRT Station (EW22),1
Esplanade MRT Station (CC3) ,1
Eunos Bus Interchange,1
Eunos MRT Station (EW7),1
Expo MRT Station (CG1),1
Fajar LRT Station (BP10),1
Farmway LRT Station (SW2),1
Farrer Park MRT Station (NE8),1
Farrer Road MRT Station (CC20),1
Fernvale LRT Station (SW5),1
Harbourfront Bus Interchange,1
Harbourfront MRT Station (NE1/CC29),1
Haw Par Villa MRT Station (CC25),1
Holland Village MRT Station (CC21),1
Hougang Central Bus Interchange,1
Hougang MRT Station (NE14),1
Imbiah Station - Sentosa,1
Jelapang LRT Station (BP12),1
Joo Koon MRT Station (EW29),1
Jurong East MRT Station (EW24) ,1
Jurong East Temporary Bus Interchange,1
Kadaloor LRT Station (PE5),1
Kallang MRT Station (EW10) ,1
Kangkar LRT Station (SE4),1
Keat Hong LRT Station (BP3) ,1
Kembangan MRT Station (EW4) ,1
Kent Ridge MRT Station (CC24),1
Kovan MRT Station (NE13),1
Labrador Park MRT Station (CC27),1
Lakeside MRT Station (EW26),1
Lavender MRT Station (EW11),1
Layar LRT Station (SW6),1
Little India MRT Station (NE7),1
Lorong Chuan MRT Station (CC14),1
MacPherson MRT Station (CC10),1
Marina Bay MRT Station,1
Marina South Pier,1
Marymount MRT Station (CC16),1
Meridian LRT Station (PE) ,1
Mountbatten MRT Station (CC7),1
New Bridge Bus Terminal,1
Newton MRT Station (NS21),1
Nicoll Highway MRT Station (CC5),1
Novena MRT Station (NS20),1
Oasis LRT Station (PE6),1
One-North MRT Station (CC23),1
Orchard MRT Station (NS22),1
Outram Park MRT Station (NE3/EW16),1
Pasir Panjang MRT Station (CC26),1
Pasir Ris Bus Interchange,1
Pasir Ris MRT Station (EW1),1
Paya Lebar MRT Station (EW8/CC9),1
Pending LRT Station (BP8),1
Petir LRT Station (BP7),1
Phoenix LRT Station (BP5),1
Pioneer MRT Station (EW28),1
Potong Pasir MRT Station (NE10),1
Promenade MRT Station (CC4),1
Punggol Bus Interchange ,1
Punggol LRT Station (PTC),1
Punggol MRT Station (NE17),1
Queenstown MRT Station (EW19),1
Raffles Place MRT Station (EW14/NS16),1
Ranggung LRT Station (SE5),1
Redhill MRT Station (EW18) ,1
Renjong LRT Station (SW8),1
Riviera LRT Station (PE4),1
Rumbia LRT Station (SE2),1
Segar LRT Station (BP11),1
Sembawang bus interchange,1
Sengkang Bus Interchange,1
Sengkang LRT Station (STC),1
Sengkang MRT Station (NE16),1
Senja LRT Station (BP13),1
Serangoon Bus Interchange,1
Serangoon MRT Station (NEL12/CC13),1
Shenton Way Bus Terminal,1
Simei MRT Station (EW3),1
Somerset MRT Station (NS23) ,1
Southview LRT Station (BP2),1
St. Michael Bus Terminal,1
Stadium MRT Station (CC6),1
Tai Seng MRT Station (CC11),1
Tampines Bus Interchange,1
Tampines MRT Station (EW2),1
Tanah Merah MRT Station (EW4),1
Tanjong Pagar MRT Station (EW15),1
Teck Whye LRT Station (BP4),1
Telok Blangah MRT Station (CC28),1
Ten Mile Junction LRT Station (BP14),1
Thanggam LRT Station (SW4),1
Tiong Bahru MRT Station (EW17),1
Tongkang LRT Station (SW7),1
Tuas Bus Terminal,1
Upper East Coast Bus Terminal,1
WaterFront Station - Sentosa,1
West Coast Pier,1
Woodlands Bus Interchange,1
Woodleigh MRT Station (NE11),1
Yew Tee MRT Station (NS5),1
Yio Chu Kang MRT Station (NS15),1
Yishun Bus Interchange,1
Yishun MRT station (NS13),1
