Name,Address,Postalcode,X-COORDINATES,Y-COORDINATES
Scape Mall,2 Orchard Link 237978 Singapore,237978,28265.1242,31468.6091
1 Moulmein Rise,1 Moulmein Rise  308143 Singapore,308143,29528.5709,33483.3903
7Jalan Bukit Merah,7 Jalan Bukit Merah 150007 Singapore,150007,25180.9495,29968.6847
8 @ Mount Sophia,8 Mount Sophia  228463 Singapore,228463,29406.4931,31479.6035
8 Lincoln,8 Lincoln Road 308363 Singapore,308363,29076.8161,33022.869
Alessandrea,31 Alexandra Road 159967 Singapore,159967,26805.705,30323.0812
Amaranda Gardens,118 Serangoon Avenue 3 554773 Singapore,554773,31745.6915,36841.278
Ang Mo Kio Ave 2/4, Ang Mo Kio Ave 2/4 560112 Singapore,560112,28272.8981,39254.5381
Ang Mo Kio Avenue 3 Block 244 and 245 ,244/245 Ang Mo Kio Avenue 3 560245 Singapore,560245,28159.0034,38857.4022
Arc at Tampines,17  Tampines Avenue 8 529602 Singapore,529602,38600.5529,36932.89
Ardmore Park,9A Ardmore Park 259956 Singapore,259956,27544.0692,32423.9552
Arthur 118,118 Arthur Road 439827 Singapore,439827,34071.407,31242.1684
Ascott Singapore Raffles Place ,2 Finlayson Green 049247 Singapore,49247,30030.0921,29391.8363
Aspella,275A-275D/277A-277D Compassvale Link 541275 Singapore,541275,34803.465,40540.7974
Atrina ,272A - 272D/273A - 273D Sengkang Central 540272 Singapore,540272,34723.8266,40728.3225
Atrium Residence,1 Lorong 28 Geylang 398406 Singapore,398406,33831.0222,32814.9963
Axis @ Siglap,59 East Coast Terrace 458950 Singapore,458950,38072.6572,32684.965
Balmoral 8,8 Balmoral Road 259792 Singapore,259792,27876.2767,32978.1208
Balmoral Heights,8 Balmoral Crescent 259928 Singapore,259928,28127.9591,33048.4877
Balmoral Hills,9 Balmoral Park  259844 Singapore,259844,27381.7652,33160.2425
Balmoral Plaza (Residential),271 Bukit Timah Road 259708 Singapore,259708,28241.9815,33190.2066
Balmoral Point,23 Balmoral Road 239806 Singapore,239806,28773.2074,31179.4591
Balmoral Residences,14 Balmoral Crescent 259910 Singapore,259910,28242.4777,33126.7158
Bayou Residence,349 Upper Paya Lebar Road 534957 Singapore,534957,33221.9116,36496.1218
Baywater,808 Bedok Reservoir Road 479243 Singapore,479243,39040.9134,35511.4881
Beaufort On Nassim,12 Nassim Road 258380 Singapore,258380,27045.1156,32320.4703
Bedok Reservoir Garden,709  Bedok Reservoir Road 470709 Singapore,470709,37908.2704,35289.2196
Belle Vue Residences,19  Oxley Walk 238592 Singapore,238592,29058.6111,30931.8676
Bencoolen Residences,51 Bencoolen Street 189630 Singapore,189630,29896.1311,31303.6773
Beverly Hill MCST 809,61 Grange Road 249570 Singapore,249570,27137.2086,31207.5824
