Postalcode,X-Coordinates,Y-Coordinates
237978,28265.1242,31468.6091,
308143,29528.5709,33483.3903,
150007,25180.9495,29968.6847,
228463,29406.4931,31479.6035,
308363,29076.8161,33022.8690,
159967,26805.7050,30323.0812,
554773,31745.6915,36841.2780,
560112,28272.8981,39254.5381,
560245,28159.0034,38857.4022,
529602,38600.5529,36932.8900,
259956,27544.0692,32423.9552,
439827,34071.4070,31242.1684,
049247,30030.0921,29391.8363,
541275,34803.4650,40540.7974,
540272,34723.8266,40728.3225,
398406,33831.0222,32814.9963,
458950,38072.6572,32684.9650,
259792,27876.2767,32978.1208,
259928,28127.9591,33048.4877,
259844,27381.7652,33160.2425,
259708,28241.9815,33190.2066,
239806,28773.2074,31179.4591,
259910,28242.4777,33126.7158,
534957,33221.9116,36496.1218,
479243,39040.9134,35511.4881,
258380,27045.1156,32320.4703,
470709,37908.2704,35289.2196,
238592,29058.6111,30931.8676,
189630,29896.1311,31303.6773,
249570,27137.2086,31207.5824,
579819,30084.3566,36627.6424,
579653,27930.2654,37969.7425,
543325,34458.2392,41681.8580,
357905,31923.2961,35399.3645,
128045,20445.2826,31035.8722,
309776,28861.9068,33395.9506,
789100,28367.7457,41501.4244,
189649,30157.0511,31621.0892,
439423,34915.0370,32699.6260,
328882,30342.0586,34001.6257,
127015,19427.4081,33366.2111,
507025,42502.3283,37916.1541,
098636,26021.7115,27775.9429,
120417,21053.6043,32503.7016,
358464,31736.8924,34788.6061,
269186,24272.5312,34042.7433,
648316,15132.1609,36068.0890,
321078,30455.0668,34067.9428,
538692,33133.8846,39739.8640,
059765,29103.4168,30065.6159,
538749,33031.0222,37248.6598,
429623,35744.3713,32072.1992,
528800,42089.7903,36543.3577,
598671,20774.7199,36282.8868,
207229,30688.9222,32600.8999,
332008,31098.9807,33187.4778,
208741,31310.8994,32356.5813,
599504,21315.2335,34066.5984,
120315,20443.4911,33415.3746,
121441,20374.2818,32991.7379,
126816,20678.0994,30928.7031,
249594,27199.2913,31373.2837,
459135,37463.0488,32430.0655,
141089,24171.9569,31505.6686,
541267,35182.9325,40545.4556,
540210,35424.0084,40804.8063,
820171,36820.7562,41864.4054,
828129,36505.2540,41695.9913,
469989,39797.0384,32611.7589,
469362,41465.1526,33717.0714,
429381,35216.6976,32717.8750,
249723,27280.0993,31914.7409,
769468,27126.6427,47305.5707,
309307,28705.9731,33226.0427,
267939,24544.1325,33146.2153,
328784,30245.5449,34260.9575,
387786,33142.5402,32926.8899,
507013,42675.6662,37903.1151,
399936,33983.7607,32077.6388,
259527,26639.6055,33181.8572,
822613,36341.9339,42903.4768,
278547,24482.2606,32674.3362,
328644,29926.5068,34035.8825,
329564,29356.6603,34216.1324,
130028,22264.1940,31866.2386,
259428,27709.5884,32445.7372,
268988,25077.3533,34088.6701,
266313,24465.2388,34030.3376,
258873,24779.5812,32593.8853,
438797,35095.3674,32473.6326,
465559,40341.6622,34612.3440,
458656,38956.9705,32728.2296,
427982,36405.8628,32969.7253,
455287,39136.9668,32727.8931,
427966,36270.3359,33025.7802,
486442,41601.5543,33755.3067,
328668,29955.5589,34007.9354,
539102,32367.4574,36265.0871,
820632,36924.2143,42483.1408,
820111,36152.9234,42063.1872,
820101,36067.1119,42262.6370,
820178,36359.0016,42364.9152,
438867,35407.7493,32231.8819,
437361,34725.2457,32482.5519,
428522,35628.1838,33164.8678,
790436,32822.6759,41604.9273,
790403,32418.6979,41172.1898,
793441,32613.9681,41568.0260,
778903,26249.0142,42977.1476,
439193,34846.5844,32469.6256,
249692,27460.3134,31733.2529,
597086,20605.8710,34006.8880,
270007,22870.8441,32621.1558,
329192,29033.3459,34415.5693,
572152,30299.9593,36383.6836,
568426,31264.8975,37246.1839,
259889,28095.6701,32994.1787,
567749,29491.7908,39824.9629,
438795,35177.0701,32075.0578,
308404,29233.3975,32931.9402,
312062,29998.7302,35335.9166,
820194,36146.7795,42654.3627,
822168,36976.4430,41821.9553,
750512,26550.7943,48391.9151,
229815,28498.8220,32098.5721,
425537,36862.8341,32761.6104,
545535,32889.5695,37497.8321,
669565,20400.5963,37852.6045,
669595,19935.1443,37700.8983,
659920,19768.6762,37138.1414,
258867,24985.9518,32404.6861,
050531,29378.4049,29620.1690,
530512,34154.3363,39254.0049,
127999,19647.7558,33061.3243,
078878,29244.0023,28627.3431,
358841,31787.6266,34717.7361,
423468,35466.7273,32633.7853,
259738,26960.4995,33596.2460,
419755,36136.7374,33370.9872,
509422,42160.2169,40118.6468,
384002,32347.1825,32819.1866,
439826,34103.3947,31353.6190,
219219,30086.6532,33142.6780,
218815,30055.3930,33097.8864,
545018,33500.4051,37940.7981,
737894,24000.7641,46040.5467,
449287,38852.7181,32373.3591,
417786,36119.7749,33466.9675,
428125,35620.6942,32815.8522,
547933,32511.0529,38262.8199,
461221,39290.7728,34160.0420,
518215,40297.4408,39372.4718,
238863,28077.6865,31858.1991,
079624,29414.1346,28526.9924,
424775,35855.1915,32022.6255,
308225,29825.0865,34063.6717,
599717,21329.3577,35959.8631,
308186,29898.8575,33957.5324,
219648,29487.0493,33006.7558,
169568,27384.4409,29941.9207,
820173,36446.5091,42130.6912,
187958,30010.5627,31263.8234,
548411,32908.3196,37992.7838,
308162,29867.8321,34002.6924,
127466,19124.5466,33183.7968,
277116,21768.8879,33217.6779,
328465,31644.4248,34369.3655,
760642,28459.4113,44749.1659,
307989,28871.6396,32953.5010,
307983,29092.1202,33442.0888,
307954,28794.8674,33020.5640,
399710,33178.6227,32401.8147,
229236,29518.4445,31351.8438,
738081,24962.7311,47392.5493,
308107,29270.5559,33459.2141,
569786,29011.7938,40701.8410,
519938,40054.5416,39882.7145,
138642,23168.7434,31616.7065,
424366,36098.6262,32747.4327,
249009,26924.6472,30602.9630,
358828,31788.1548,34627.2347,
238714,28933.7658,31289.7756,
068803,29918.0101,29083.4584,
248669,27036.0688,31456.3791,
239571,28581.2377,31076.1497,
238800,27935.4004,31704.8805,
229955,28570.5511,32441.0952,
258333,27365.4303,32324.4510,
218817,30133.5235,33091.6685,
426052,36365.7782,33156.3718,
598429,20863.1178,36157.5667,
426224,36487.8926,33281.6668,
597627,22002.1510,33573.3441,
439198,34900.2226,32473.8017,
228492,29712.7426,31789.6125,
228687,29620.1602,32064.6103,
609774,16949.7621,36226.7453,
238545,27608.8240,31423.1335,
059812,28815.5363,29348.5628,
358847,31731.4631,34744.7807,
219053,30067.3825,33245.9879,
258204,27491.9224,33292.7410,
821616,36832.5812,42572.2032,
820293,35971.0822,42770.6060,
820643,37203.4051,42134.1641,
820200,35762.7577,42351.7131,
820196,36206.3222,42360.7477,
820125,36686.1114,41759.0119,
820128,36818.2297,41649.1107,
821160,37168.8767,41912.1989,
823603,36307.7395,42799.1034,
821614,36451.6951,42826.8639,
822602,36184.5520,42763.6678,
278636,22142.6000,33433.0755,
579800,29112.5181,36679.6921,
098405,25772.2181,27704.1638,
238464,28971.4141,31313.9163,
169279,27534.7863,29641.4276,
423788,36385.2543,33189.3019,
548432,32791.1799,38006.4948,
329001,31452.3346,34315.6474,
519935,39907.2354,39588.8449,
438611,34838.6027,32630.0201,
169658,28885.6365,30224.0109,
238010,28803.5218,30609.0959,
329928,30137.6078,33727.6833,
546134,32553.3646,38328.2051,
